id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
4389,1729,1729,2015/2016,1,8/9/2015 0:00,1987032,9825,8654,0,2
4391,1729,1729,2015/2016,1,8/8/2015 0:00,1987034,8455,10003,2,2
4399,1729,1729,2015/2016,10,10/24/2015 0:00,1988800,9825,8668,2,1
4408,1729,1729,2015/2016,10,10/24/2015 0:00,1988809,8654,8455,2,1
4409,1729,1729,2015/2016,11,10/31/2015 0:00,1988810,8455,8650,1,3
4410,1729,1729,2015/2016,11,10/31/2015 0:00,1988811,9826,10260,0,0
4416,1729,1729,2015/2016,11,11/2/2015 0:00,1988817,8586,10252,3,1
4419,1729,1729,2015/2016,12,11/8/2015 0:00,1988820,9825,8586,1,1
4428,1729,1729,2015/2016,12,11/7/2015 0:00,1988829,8654,8668,1,1
4429,1729,1729,2015/2016,13,11/21/2015 0:00,1988830,8455,9850,1,0
4430,1729,1729,2015/2016,13,11/23/2015 0:00,1988831,9826,8472,0,1
4436,1729,1729,2015/2016,13,11/22/2015 0:00,1988837,8586,8654,4,1
4441,1729,1729,2015/2016,14,11/28/2015 0:00,1988842,9826,10261,5,1
4447,1729,1729,2015/2016,14,11/29/2015 0:00,1988848,8586,8455,0,0
4448,1729,1729,2015/2016,14,11/29/2015 0:00,1988849,8654,8659,1,1
4449,1729,1729,2015/2016,15,12/5/2015 0:00,1988850,9825,8472,3,1
4450,1729,1729,2015/2016,15,12/5/2015 0:00,1988851,8455,8678,0,1
4461,1729,1729,2015/2016,16,12/12/2015 0:00,1988862,9826,8466,1,0
4467,1729,1729,2015/2016,16,12/13/2015 0:00,1988868,8586,10261,1,2
4468,1729,1729,2015/2016,16,12/12/2015 0:00,1988869,8654,10194,0,0
4469,1729,1729,2015/2016,17,12/21/2015 0:00,1988870,9825,8456,2,1
4470,1729,1729,2015/2016,17,12/19/2015 0:00,1988871,8455,8472,3,1
4481,1729,1729,2015/2016,18,12/26/2015 0:00,1988882,8455,9817,2,2
4488,1729,1729,2015/2016,18,12/26/2015 0:00,1988889,8586,9850,3,0
4489,1729,1729,2015/2016,19,12/28/2015 0:00,1988890,9825,8678,2,0
4490,1729,1729,2015/2016,19,12/28/2015 0:00,1988891,9826,10003,0,0
4498,1729,1729,2015/2016,19,12/28/2015 0:00,1988899,8654,8466,2,1
4500,1729,1729,2015/2016,2,8/16/2015 0:00,1987079,9826,9825,1,2
4506,1729,1729,2015/2016,2,8/15/2015 0:00,1987085,8586,10194,2,2
4508,1729,1729,2015/2016,2,8/15/2015 0:00,1987087,8654,8197,1,2
4509,1729,1729,2015/2016,20,1/2/2016 0:00,1988900,9825,10261,1,0
4510,1729,1729,2015/2016,20,1/3/2016 0:00,1988901,9826,8455,0,3
4518,1729,1729,2015/2016,20,1/2/2016 0:00,1988909,8654,8650,2,0
4523,1729,1729,2015/2016,21,1/13/2016 0:00,1988914,8455,8659,2,2
4528,1729,1729,2015/2016,21,1/13/2016 0:00,1988919,8586,8197,0,1
4531,1729,1729,2015/2016,22,1/16/2016 0:00,1988922,8455,8668,3,3
4538,1729,1729,2015/2016,22,1/16/2016 0:00,1988929,8586,8472,4,1
4539,1729,1729,2015/2016,23,1/24/2016 0:00,1988930,9825,8455,0,1
4540,1729,1729,2015/2016,23,1/23/2016 0:00,1988931,9826,8586,1,3
4548,1729,1729,2015/2016,23,1/23/2016 0:00,1988939,8654,8456,2,2
4549,1729,1729,2015/2016,24,2/2/2016 0:00,1988940,9825,8466,0,0
4554,1729,1729,2015/2016,24,2/2/2016 0:00,1988945,8654,10252,2,0
4555,1729,1729,2015/2016,24,2/2/2016 0:00,1988946,9826,8678,1,2
4561,1729,1729,2015/2016,25,2/7/2016 0:00,1988952,8455,10260,1,1
4568,1729,1729,2015/2016,25,2/6/2016 0:00,1988959,8586,9817,1,0
4569,1729,1729,2015/2016,26,2/14/2016 0:00,1988960,9825,8197,2,1
4572,1729,1729,2015/2016,26,2/13/2016 0:00,1988963,8455,10261,5,1
4573,1729,1729,2015/2016,26,2/13/2016 0:00,1988964,9826,9817,1,2
4585,1729,1729,2015/2016,27,2/28/2016 0:00,1988976,8586,10003,2,1
4588,1729,1729,2015/2016,27,2/27/2016 0:00,1988979,8654,8472,1,0
4589,1729,1729,2015/2016,28,3/2/2016 0:00,1988980,9825,10003,1,2
4595,1729,1729,2015/2016,28,3/2/2016 0:00,1988986,8654,8586,1,0
4599,1729,1729,2015/2016,29,3/5/2016 0:00,1988990,8455,10194,1,1
4600,1729,1729,2015/2016,29,3/6/2016 0:00,1988991,9826,8650,1,2
4606,1729,1729,2015/2016,29,3/5/2016 0:00,1988997,8586,9825,2,2
4609,1729,1729,2015/2016,3,8/24/2015 0:00,1988730,9825,8650,0,0
4610,1729,1729,2015/2016,3,8/22/2015 0:00,1988731,9826,10252,2,1
4618,1729,1729,2015/2016,3,8/22/2015 0:00,1988739,8654,8678,3,4
4619,1729,1729,2015/2016,30,4/21/2016 0:00,1989000,9825,8659,2,0
4628,1729,1729,2015/2016,30,4/20/2016 0:00,1989009,8654,9817,3,1
4629,1729,1729,2015/2016,31,3/19/2016 0:00,1989010,8455,8654,2,2
4630,1729,1729,2015/2016,31,3/19/2016 0:00,1989011,9826,8197,0,1
4636,1729,1729,2015/2016,31,3/20/2016 0:00,1989017,8586,8678,3,0
4639,1729,1729,2015/2016,32,4/2/2016 0:00,1989020,9825,9817,4,0
4648,1729,1729,2015/2016,32,4/2/2016 0:00,1989029,8654,9826,2,2
4650,1729,1729,2015/2016,33,4/9/2016 0:00,1989031,9826,9850,1,0
4656,1729,1729,2015/2016,33,4/10/2016 0:00,1989037,8586,10260,3,0
4658,1729,1729,2015/2016,33,4/9/2016 0:00,1989039,8654,9825,3,3
4659,1729,1729,2015/2016,34,4/17/2016 0:00,1989040,9825,9826,1,1
4661,1729,1729,2015/2016,34,4/16/2016 0:00,1989042,8455,8456,0,3
4671,1729,1729,2015/2016,35,4/13/2016 0:00,1989052,9826,8668,0,0
4677,1729,1729,2015/2016,35,4/25/2016 0:00,1989058,8586,8659,1,1
4678,1729,1729,2015/2016,35,5/10/2016 0:00,1989059,8654,10260,3,2
4679,1729,1729,2015/2016,36,4/30/2016 0:00,1989060,9825,9850,1,0
4680,1729,1729,2015/2016,36,5/2/2016 0:00,1989061,8455,8586,2,2
4691,1729,1729,2015/2016,37,5/7/2016 0:00,1989072,9826,10194,2,1
4697,1729,1729,2015/2016,37,5/8/2016 0:00,1989078,8586,8466,1,2
4698,1729,1729,2015/2016,37,5/7/2016 0:00,1989079,8654,10003,1,4
4699,1729,1729,2015/2016,38,5/15/2016 0:00,1987597,9825,10252,4,0
4700,1729,1729,2015/2016,38,5/15/2016 0:00,1987598,8455,8197,1,1
4711,1729,1729,2015/2016,4,8/29/2015 0:00,1988742,8455,9826,1,2
4718,1729,1729,2015/2016,4,8/29/2015 0:00,1988749,8586,8668,0,0
4719,1729,1729,2015/2016,5,9/12/2015 0:00,1988750,9825,10194,2,0
4720,1729,1729,2015/2016,5,9/12/2015 0:00,1988751,9826,8456,0,1
4728,1729,1729,2015/2016,5,9/14/2015 0:00,1988759,8654,10261,2,0
4731,1729,1729,2015/2016,6,9/19/2015 0:00,1988762,8455,9825,2,0
4738,1729,1729,2015/2016,6,9/20/2015 0:00,1988769,8586,9826,1,0
4745,1729,1729,2015/2016,7,9/26/2015 0:00,1988776,8586,8456,4,1
4748,1729,1729,2015/2016,7,9/26/2015 0:00,1988779,8654,9850,2,2
4749,1729,1729,2015/2016,8,10/4/2015 0:00,1988780,9825,10260,3,0
4752,1729,1729,2015/2016,8,10/3/2015 0:00,1988783,8455,8466,1,3
4753,1729,1729,2015/2016,8,10/3/2015 0:00,1988784,9826,8659,2,0
4759,1729,1729,2015/2016,9,10/17/2015 0:00,1988790,8455,10252,2,0
4760,1729,1729,2015/2016,9,10/17/2015 0:00,1988791,9826,8654,1,3
4766,1729,1729,2015/2016,9,10/17/2015 0:00,1988797,8586,8650,0,0
